Depth,age,Gamma Density,MS Loop (negs removed)
13.459,29.19567525,1.2487,16.8
13.469,29.2214864,1.2448,17.2
13.479,29.24731744,1.2571,17.4
13.489,29.27316908,1.2437,17.4
13.499,29.29904201,1.2627,17.5
13.509,29.32493695,1.267,17.4
13.519,29.35085459,1.2481,17.1
13.529,29.37679564,1.2518,16.9
13.539,29.4027608,1.2455,16.9
13.549,29.42875078,1.2582,16.8
13.559,29.45476628,1.2759,16.7
13.569,29.480808,1.2525,16.7
13.579,29.50687666,1.2684,16.7
13.589,29.53297294,1.2563,16.7
13.599,29.55909757,1.2411,16.5
13.609,29.58525124,1.2663,16.5
13.619,29.61143465,1.2695,16.4
13.629,29.63764851,1.2697,16.3
13.639,29.66389353,1.2625,16.1
13.649,29.6901704,1.2663,16
13.659,29.71647983,1.2587,16
13.669,29.74282254,1.2607,16.2
13.679,29.76919921,1.2457,16.2
13.689,29.79561055,1.2571,16.1
13.699,29.82205727,1.2534,16
13.709,29.84854008,1.2495,15.8
13.719,29.87505967,1.2661,15.7
13.729,29.90161675,1.2586,15.6
13.739,29.92821203,1.2533,15.6
13.749,29.9548462,1.2506,15.7
13.759,29.98151997,1.2565,15.7
13.769,30.00823406,1.2548,15.9
13.779,30.03498915,1.251,16
13.789,30.06178596,1.2725,16
13.799,30.08862518,1.2557,16
13.809,30.11550753,1.2702,15.9
13.819,30.14243371,1.2647,15.8
13.829,30.16940441,1.2617,15.6
13.839,30.19642035,1.2558,15.4
13.849,30.22348223,1.252,15.6
13.859,30.25059076,1.2595,15.9
13.869,30.27774663,1.2492,16.1
13.879,30.30495055,1.2575,16.3
13.889,30.33220322,1.2644,16.5
13.899,30.35950536,1.2537,16.5
13.909,30.38685765,1.2643,16.8
13.919,30.41426082,1.2603,17.4
13.929,30.44171556,1.2579,18.3
13.939,30.46922257,1.2505,20
13.949,30.49678256,1.2579,22.2
13.959,30.52439624,1.2652,24.9
13.969,30.5520643,1.2848,29.4
13.979,30.57978745,1.2898,39.3
13.989,30.6075664,1.3195,57.8
13.999,30.63540185,1.4847,81.8
14.009,30.66329451,1.9956,94.6
14.019,30.69124507,2.0151,84.6
14.029,30.71925424,1.488,64.4
14.039,30.74732273,1.3297,42.7
14.049,30.77545124,1.263,29
14.059,30.80364047,1.2643,22.1
14.069,30.83189113,1.2609,18.8
14.079,30.86020393,1.2695,17.3
14.089,30.88857956,1.2571,16.7
14.099,30.91701693,1.2674,16.5
14.109,30.94551373,1.2674,16.6
14.119,30.97406935,1.2732,16.6
14.129,31.00268319,1.2666,16.7
14.139,31.03135463,1.2651,16.9
14.149,31.06008307,1.269,16.8
14.159,31.0888679,1.2524,16.6
14.169,31.11770852,1.268,16.5
14.179,31.14660432,1.2549,16.5
14.189,31.17555469,1.2448,16.6
