Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate),Lake Level (PC1 5pt Smooth)
131.912,34.4192541,0.11454
132.107,32.0510768,0.09884
132.313,72.12096725,0.22552
132.491,53.14317717,0.1304
132.685,12.39146505,0.1334
132.86,18.92571429,0.06106
133.059,27.20200918,0.27244
133.257,38.51037982,0.16844
133.462,10.89579525,0.14736
133.663,37.03751914,0.13208
133.858,70.57745711,0.12658
134.09,14.6487056,-0.0472
134.228,64.55055841,-0.09248
134.414,26.37985276,-0.08198
134.589,79.42045464,-0.06742
134.797,40.37072705,-0.05658
134.917,57.93603887,-0.08872
135.072,63.63343056,-0.0998
135.249,33.20415025,-0.10736
135.417,117.0925103,-0.11544
135.586,136.2976692,-0.12932
135.746,115.4809123,-0.13804
135.913,275.0379266,-0.1431
136.061,381.9631393,-0.13518
136.572,93.91059081,-0.12796
136.679,230.5048185,-0.1202
136.805,72.87099318,-0.11042
136.931,68.70415138,-0.08964
137.041,36.24575807,-0.08704
137.164,47.93627475,-0.08024
137.285,49.72350006,-0.08692
137.406,32.54288158,-0.08638
137.519,237.3368861,-0.08592
137.624,39.5607059,-0.08596
137.752,86.40248725,-0.09488
137.869,28.29951665,-0.08742
137.989,3.373074063,-0.09414
138.104,176.2575665,-0.0923
138.211,294.1558271,-0.08768
138.328,4.352678784,-0.08972
138.406,143.1203702,-0.08844
138.503,148.4888108,-0.0846
138.533,96.36751316,-0.08852
138.629,193.9233603,-0.10566
138.725,105.454546,-0.11622
138.821,380.6532563,-0.13166
138.915,367.9517239,-0.13898
139.01,355.4871795,-0.13672
139.049,128.4135605,-0.12484
139.129,152.6054967,-0.1106
139.137,13.87938892,-0.1015
139.229,37.49472833,-0.09484
139.32,47.11168387,-0.10324
139.403,69.99628096,-0.1066
139.477,171.3008302,-0.1028
139.567,79.83416911,-0.10166
139.657,164.6375401,-0.10042
139.736,92.06149203,-0.09944
139.825,45.85076433,-0.10336
139.913,91.62680161,-0.10896
140.002,265.3994082,-0.10912
140.09,136.9520574,-0.11276
