Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate)
508.312,0.841236266
508.813,0.896408827
509.302,0.760218252
509.781,2.297708867
510.252,1.031379888
510.719,0.523998547
510.796,223.727548
521.928,40.59422329
527.617,1.246163171
528.603,1.31945126
529.699,2.575424476
530.853,3.236929552
532.049,1.212748068
533.299,1.32787524
534.614,2.073998615
535.069,4.697024842
536.521,0.29256562
538.149,0.303787559
539.953,0.55820835
541.887,0.841280753
543.949,0.970016678
546.141,1.12615069
548.411,0.406694094
550.76,1.134177851
551.939,15.80240797
552.267,0.565572181
554.878,1.085834389
557.658,0.612987831
560.439,0.442594434
563.263,0.181238798
566.022,0.81454362
567.769,0.310936827
570.404,0
573.078,0.19987862
573.3133991,1.053075673
573.5056333,21.44409713
573.665171,4.584028292
573.8737631,9.385112883
573.9716473,8.841344511
574.0518839,38.89493444
574.1222738,3.779069138
574.1876161,59.37555641
574.2519353,0
574.3212787,7.505192338
574.3713221,114.8333372
574.474103,21.32148956
574.6838642,17.08972275
574.850719,3.206654959
575.0587879,1.950727883
575.31,0.547127622
575.912,5.724489263
576.412,1.256214845
577.007,1.570576734
578.14,3.367526032
584.628,90.06145108
585.012,0.869441664
585.582,1.557116242
586.583,1.508900319
587.628,0.092206006
588.69,0.791107019
590.801,0
591.459,0.852037999
591.878,1.396820581
597.871,1.632567891
600.589,0.712315303
605.06,130.8675277
605.751,15.25166007
606.252,0
606.446,7.357091
606.958,0.147108696
607.149,6.553995746
607.65,0.437553807
607.844,2.791278693
608.339,0.327580523
608.536,1.86165067
609.002,0.164292336
609.674,0.63859367
610.332,0.168430839
610.976,0.313684531
612.173,1.455392654
612.806,0.171151871
613.42,0.982342358
614.595,2.547856467
615.654,3.227602155
616.228,2.814959875
616.8,2.666091498
617.379,3.870729632
618.261,35.81036646
618.922,1.580099329
619.519,2.090560065
620.112,5.300700069
620.697,9.183468457
621.266,2.362440228
621.835,2.241184462
622.363,0.735558167
622.926,0.945998253
623.469,2.686467466
624,1.46198453
624.536,5.593069963
625.061,6.682734493
625.749,1.414956418
626.235,4.365125605
626.734,12.74494807
627.234,4.659102665
627.716,1.920789541
628.202,2.111389362
628.45,35.40100684
628.49,2.376909045
628.672,0
628.995,0.710898811
629.493,0.47250405
629.981,1.916584355
630.469,2.408795912
630.94,1.641591906
631.412,1.186592838
631.826,5.09850205
632.284,6.910504449
632.739,2.546374509
633.157,3.364863133
633.626,1.517659787
634.064,1.596060034
634.494,1.532995216
634.886,1.617908231
635.319,3.407873465
635.735,0.54667871
636.146,1.606440498
636.458,43.00140194
636.487,1.239711774
636.842,1.426674801
637.18,3.409628507
637.537,7.43271831
637.891,7.313858577
638.245,2.534316172
638.592,5.787168614
638.851,4.062475839
639.132,4.163190269
639.476,1.920624633
639.819,4.6359873
640.147,8.983615114
640.481,13.7264429
640.815,18.58850006
641.144,14.60744319
641.258,14.06037894
641.546,7.815166897
641.871,2.453572318
642.194,0.332882504
642.516,1.710995856
643.117,85.67037758
644.825,1.679000435
645.017,1.385388395
645.302,0.663185703
645.588,2.019115198
645.865,3.055477531
646.17,10.47393404
646.436,135.1488993
646.502,2.893051329
646.807,3.660402643
647.112,2.021871753
647.415,2.796841578
647.71,4.802288298
648.023,2.70143829
648.319,7.736936934
648.635,5.813173701
648.932,3.385227283
649.256,19.39530817
649.293,5.180433308
649.56,2.707598973
649.852,6.125028992
650.142,4.667365841
650.435,7.739533698
650.728,10.2936472
651.023,4.790342408
651.313,2.082608127
651.591,1.473493344
651.891,0.333652084
652.189,1.019828421
652.492,2.664976234
652.794,2.246745399
653.1,0
653.329,1.72204403
653.638,1.289490764
653.947,2.145183716
654.26,5.220592132
654.573,0.340544605
654.91,7.089200234
655.26,11.96028332
655.569,22.86158024
655.709,26.25952322
655.728,1.391950791
656.35,1.719893879
660.803,11.31146541
661.152,4.709287261
661.516,1.068398208
661.881,51.60997737
662.25,0.754172308
662.616,0.927272107
663.306,14.67227959
663.356,11.89303109
663.73,0.987493384
664.133,1.265921755
664.261,0.451512695
664.669,0.444968538
665.081,12.6039152
665.499,0
665.912,5.411783091
666.324,0.665334887
666.739,0.444491896
666.922,0.6442423
667.336,8.338259628
667.746,0
668.159,2.510384807
668.568,0.206541262
668.977,9.225313651
669.357,0.456355127
669.74,21.91772628
670.146,0.856657986
670.553,1.819728311
670.962,18.36594895
671.367,12.73351318
671.609,13.25544768
672.024,43.39790424
672.072,2.194237372
672.586,8.448696727
673.117,13.49817388
673.643,2.103336016
674.172,23.52184898
674.7,3.681241154
675.225,3.119206534
675.751,8.08814344
